BOQ_TEXT,CLEAN_JSON,Ground_Truth,SCORE,VERDICT
"Providing and fixing precast cement concrete kerbs of M20 grade, size 450 mm x 350 mm x 150 mm with bevelled nosing, joint filling using 10 mm thick cement mortar (1:4), including curing for 3 days complete.","{""item"": ""precast cement concrete kerbs"", ""attributes"": {""grade"": ""M20"", ""dimensions"": ""450mm x 350mm x 150mm"", ""work_type"": ""providing and fixing"" ""finish"": ""bevelled"", ""mortar"": ""1:4, 10mm thick"", ""curing"": ""3 days""}}","{
  ""item"": ""precast cement concrete kerbs"",
  ""attributes"": {
    ""grade"": ""M20"",
    ""dimensions"": ""450mm x 350mm x 150mm"",
    ""finish"": ""bevelled nosing"",
    ""mortar"": ""1:4, 10mm thick"",
    ""curing"": ""3 days"",
    ""work_type"": ""providing and fixing"",
    ""material"": ""cement concrete""
  }
}",9.0,Correct
Cement mortar flooring grade M30 20 mm thick in 1:4 mix including smooth finishing and curing for 3 days.,"{
  ""item"": ""Cement"",
  ""attributes"": {
    ""work_type"": ""flooring"",
    ""material"": ""cement mortar"",
    ""grade"": ""M30"",
    ""thickness"": ""20 mm"",
    ""mix_ratio"": ""1:4"",
    ""finish"": ""smooth"",
    ""curing"": ""3 days""
  }
}","{
  ""item"": ""Cement"",
  ""attributes"": {
    ""work_type"": ""flooring"",
    ""material"": ""cement mortar"",
    ""grade"": ""M30"",
    ""thickness"": ""20 mm"",
    ""mix_ratio"": ""1:4"",
    ""finish"": ""smooth"",
    ""curing"": ""3 days""
  }
}",10.0,Correct
Cement mortar flooring grade M20 25 mm thick in 1:3 mix including smooth finishing and curing for 5 days.,"{
  ""item"": ""Cement"",
  ""attributes"": {
    ""work_type"": ""flooring"",
    ""material"": ""cement mortar"",
    ""grade"": ""M20"",
    ""thickness"": ""25 mm"",
    ""mix_ratio"": ""1:3"",
    ""finish"": ""smooth"",
    ""curing"": ""5 days""
  }
}","{
  ""item"": ""Cement"",
  ""attributes"": {
    ""work_type"": ""flooring"",
    ""material"": ""cement mortar"",
    ""grade"": ""M20"",
    ""thickness"": ""25 mm"",
    ""mix_ratio"": ""1:3"",
    ""finish"": ""smooth"",
    ""curing"": ""5 days""
  }
}",10.0,Correct
Earthwork in excavation in all types of soil up to 1.5m depth including disposal within 50m lead.,"{
  ""item"": ""excavation"",
  ""attributes"": {
    ""material"": ""earthwork"",
    ""depth"": ""1.5m"",
    ""soil_type"": ""all types"",
    ""location"": ""disposal within 50m lead""
  }
}","{
  ""item"": ""Earthwork excavation"",
  ""attributes"": {
    ""work_type"": ""excavation"",
    ""material"": ""all types of soil"",
    ""depth"": ""up to 1.5 m"",
    ""location"": ""within 50 m"",
  }
}",8.0,Partial
Brick edging 75mm wide with picked jhama bricks laid true to line and level with sand filling and ramming.,"{ ""item"": ""paved footpath"", ""attributes"": { ""width"": ""75mm"", ""material"": ""picked jhama bricks"", ""finish"": ""true to line and level"", ""filling"": ""sand"", ""ramming"": ""yes"" }}","{
  ""item"": ""Brick edging"",
  ""attributes"": {
    ""work_type"": ""edging"",
    ""material"": ""picked jhama bricks"",
    ""width"": ""75 mm"",    
    ""filling"" : ""sand""  
    ""location"": ""laid true to line and level with sand filling and ramming""
  }
}",8.0,Partial
"PVC false ceiling with 40x20mm steel frame, 18 gauge, 150mm PVC panels, painted red oxide.","{
  ""item"": ""false ceiling"",
  ""attributes"": {
    ""material"": ""PVC"",
    ""thickness"": ""150mm"" 
    ""dimensions"": ""40x20mm"",
    ""frame"": ""18 gauge, steel"",
    ""finish"": ""painted, red oxide""
  }
}","{
  ""item"": ""PVC false ceiling"",
  ""attributes"": {
    ""work_type"": ""false ceiling"",
    ""material"": ""PVC"",
    ""frame"": ""steel section 40x20 mm, 18 gauge"",
    ""thickness"": ""150 mm PVC panels"",
    ""finish"": ""red oxide painted""
  }
}",9.0,Correct
12mm thick plaster grade M25 in cement mortar 1:6 on brick wall with smooth finish.,"{
  ""item"": ""plaster"",
  ""attributes"": {
    ""grade"": ""M25"",
    ""thickness"": ""12mm"",
    ""location"": ""brick wall"", 
    ""mortar_ratio"": ""1:6"",
    ""finish"": ""smooth""
  }
}","{
  ""item"": ""Plastering work"",
  ""attributes"": {
    ""material"": ""cement sand mortar"",
    ""grade"": ""M25"",
    ""thickness"": ""12 mm"",
    ""mix_ratio"": ""1:6"",
    ""finish"": ""smooth"",
    ""location"": ""brick wall""
  }
}",9.0,Correct
15mm thick plaster grade M30 in cement mortar 1:4 on concrete wall with sponge finish.,"{
  ""item"": ""plaster"",
  ""attributes"": {
    ""thickness"": ""15mm"",
    ""grade"": ""M30"",
    ""location"": ""wall"",
    ""mix_ratio"": ""1:4"",
    ""finish"": ""sponge""
  }
}","{
  ""item"": ""plaster"",
  ""attributes"": {
    ""material"": ""cement sand mortar"",
    ""grade"": ""M30"",
    ""thickness"": ""15 mm"",
    ""mix_ratio"": ""1:4"",
    ""finish"": ""sponge finish"",
    ""location"": ""concrete wall""
  }
}",8.0,Partial
"RCC slab M25 grade, 150mm thick with Fe500 reinforcement, curing 10 days.","{
  ""item"": ""slab"",
  ""attributes"": {
    ""grade"": ""M25"",
    ""thickness"": ""150mm"",
    ""reinforcement"": ""Fe500"",
    ""curing"": ""10 days""
}
}","{
  ""item"": ""RCC slab"",
  ""attributes"": {
    ""grade"": ""M25"",
    ""thickness"": ""150 mm"",
    ""reinforcement"": ""Fe500 steel"",
    ""curing"": ""10 days""
  }
}",9.0,Correct
"RCC slab M20 grade, 120mm thick with Fe415 reinforcement, curing 7 days.","{
  ""item"": ""slab"",
  ""attributes"": {
    ""grade"": ""M20"",
    ""thickness"": ""120mm"",
    ""reinforcement"": ""Fe5415"",
    ""curing"": ""7 days""
}
}","{
  ""item"": ""RCC slab"",
  ""attributes"": {
    ""grade"": ""M20"",
    ""thickness"": ""120mm"",
    ""reinforcement"": ""Fe5415 steel"",
    ""curing"": ""7 days""
}
}",8.0,Partial
