BOQ_TEXT,GEMINI_OUTPUT,Ground_Truth,TIME_TAKEN_SEC
Cement mortar flooring grade M20 25 mm thick in 1:3 mix including smooth finishing and curing for 5 days.,"{
  ""item"": ""Cement mortar flooring"",
  ""grade"": ""M20"",
  ""thickness"": ""25 mm"",
  ""mix"": ""1:3"",
  ""finish"": ""smooth finishing"",
  ""curing"": ""5 days""
}","{
  ""item"": ""Cement"",
  ""attributes"": {
    ""work_type"": ""flooring"",
    ""material"": ""cement mortar"",
    ""grade"": ""M20"",
    ""thickness"": ""25 mm"",
    ""mix_ratio"": ""1:3"",
    ""finish"": ""smooth"",
    ""curing"": ""5 days""
  }
}",2.58
Earthwork in excavation in all types of soil up to 1.5m depth including disposal within 50m lead.,"{
  ""activity"": ""Earthwork in excavation"",
  ""soil_type"": ""All types"",
  ""depth"": ""Up to 1.5m"",
  ""lead"": ""Within 50m"",
  ""disposal"": ""Included""
}","{
  ""item"": ""Earthwork excavation"",
  ""attributes"": {
    ""work_type"": ""excavation"",
    ""material"": ""all types of soil"",
    ""depth"": ""up to 1.5 m"",
    ""location"": ""within 50 m"",
  }
}",3.54
Brick edging 75mm wide with picked jhama bricks laid true to line and level with sand filling and ramming.,"{
  ""type"": ""brick edging"",
  ""width"": ""75mm"",
  ""material"": ""picked jhama bricks"",
  ""filling"": ""sand"",
  ""compaction"": ""ramming"",
  ""alignment"": ""true to line and level""
}","{
  ""item"": ""Brick edging"",
  ""attributes"": {
    ""work_type"": ""edging"",
    ""material"": ""picked jhama bricks"",
    ""width"": ""75 mm"",    
    ""filling"" : ""sand""  
    ""location"": ""laid true to line and level with sand filling and ramming""
  }
}",3.49
"PVC false ceiling with 40x20mm steel frame, 18 gauge, 150mm PVC panels, painted red oxide.","{
  ""type"": ""false ceiling"",
  ""material"": ""PVC"",
  ""frame_material"": ""steel"",
  ""frame_dimensions"": ""40x20mm"",
  ""frame_gauge"": ""18"",
  ""panel_size"": ""150mm"",
  ""finish"": ""painted red oxide""
}","{
  ""item"": ""PVC false ceiling"",
  ""attributes"": {
    ""work_type"": ""false ceiling"",
    ""material"": ""PVC"",
    ""frame"": ""steel section 40x20 mm, 18 gauge"",
    ""thickness"": ""150 mm PVC panels"",
    ""finish"": ""red oxide painted""
  }
}",3.52
12mm thick plaster grade M25 in cement mortar 1:6 on brick wall with smooth finish.,"{
  ""thickness"": ""12mm"",
  ""type"": ""plaster"",
  ""grade"": ""M25"",
  ""material"": ""cement mortar"",
  ""ratio"": ""1:6"",
  ""substrate"": ""brick wall"",
  ""finish"": ""smooth""
}","{
  ""item"": ""Plastering work"",
  ""attributes"": {
    ""material"": ""cement sand mortar"",
    ""grade"": ""M25"",
    ""thickness"": ""12 mm"",
    ""mix_ratio"": ""1:6"",
    ""finish"": ""smooth"",
    ""location"": ""brick wall""
  }
}",3.39
15mm thick plaster grade M30 in cement mortar 1:4 on concrete wall with sponge finish.,"{
  ""type"": ""plaster"",
  ""thickness"": ""15mm"",
  ""grade"": ""M30"",
  ""material"": ""cement mortar"",
  ""ratio"": ""1:4"",
  ""substrate"": ""concrete wall"",
  ""finish"": ""sponge finish""
}","{
  ""item"": ""plaster"",
  ""attributes"": {
    ""thickness"": ""15mm"",
    ""grade"": ""M30"",
    ""location"": ""wall"",
    ""mix_ratio"": ""1:4"",
    ""finish"": ""sponge""
  }
}",4.03
"RCC slab M25 grade, 150mm thick with Fe500 reinforcement, curing 10 days.","{
  ""type"": ""RCC slab"",
  ""grade"": ""M25"",
  ""thickness"": ""150mm"",
  ""steel"": ""Fe500"",
  ""curing"": ""10 days""
}","{
  ""item"": ""slab"",
  ""attributes"": {
    ""grade"": ""M25"",
    ""thickness"": ""150mm"",
    ""reinforcement"": ""Fe500"",
    ""curing"": ""10 days""
}
}",2.95
"RCC slab M20 grade, 120mm thick with Fe415 reinforcement, curing 7 days.","{
  ""item"": ""slab"",
  ""material"": ""RCC"",
  ""concrete_grade"": ""M20"",
  ""thickness"": ""120mm"",
  ""steel_grade"": ""Fe415"",
  ""curing"": ""7 days""
}","{
  ""item"": ""RCC slab"",
  ""attributes"": {
    ""grade"": ""M20"",
    ""thickness"": ""120mm"",
    ""reinforcement"": ""Fe5415 steel"",
    ""curing"": ""7 days""
}
}",2.61
"Supplying, fitting and fixing Black Stone slab used in Kitchen slab, alcove, wardrobe etc. laid and jointed with necessary adhesive Cement ,mortar ratio (1:2) ,including grinding or polishing as per direction of Engineer-in -Charge in Ground Floor. Thickness 25 mm.","{
  ""work_type"": ""Supplying, fitting and fixing"",
  ""material"": ""Black Stone slab"",
  ""application"": ""Kitchen slab, alcove, wardrobe"",
  ""mortar_ratio"": ""1:2"",
  ""adhesive"": ""Cement mortar"",
  ""finishing"": ""Grinding or polishing"",
  ""location"": ""Ground Floor"",
  ""thickness"": ""25 mm""
}","{  ""item"": ""Black stone slab work"",  ""attributes"": {    ""material"": ""black stone slab"",    ""work_type"": ""supplying, fitting and fixing"",    ""application"": ""kitchen slab / alcove / wardrobe"",    ""thickness"": ""25 mm"",    ""mortar"": ""cement mortar (1:2) with adhesive"",    ""finish"": ""grinding or polishing"",    ""location"": ""ground floor""  }}",3.1
,,
